Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
STU_10243,14,50,59,56,8.3,1
STU_10244,17,49,64,52,10.4,1
STU_10245,16,53,34,62,4.1,0
STU_10246,19,49,58,59,7.0,1
STU_10247,18,62,44,39,5.5,0
STU_10248,16,35,59,59,9.1,1
STU_10249,17,66,64,66,15.1,1
STU_10250,17,41,47,63,6.5,1
STU_10251,16,45,48,55,3.0,0
STU_10252,17,47,43,58,5.0,0
STU_10253,16,76,81,62,19.9,1
STU_10254,15,53,58,48,4.5,1
STU_10255,16,55,38,46,3.4,0
STU_10256,16,66,46,34,6.2,0
STU_10257,17,49,46,68,7.6,1
STU_10258,17,40,51,39,5.7,0
STU_10259,14,27,55,51,2.6,0
STU_10260,14,57,37,52,9.7,0
STU_10261,15,60,39,52,9.2,1
STU_10262,14,43,56,66,11.9,1
STU_10263,16,63,54,46,9.0,1
STU_10264,17,68,59,71,19.0,1
STU_10265,14,45,60,64,12.4,1
STU_10266,14,46,48,49,11.0,0
STU_10267,15,53,58,72,15.4,1
STU_10268,19,41,65,70,8.7,1
STU_10269,15,53,46,75,7.1,1
STU_10270,16,61,50,53,9.6,1
STU_10271,17,55,42,49,1.7,0
STU_10272,15,44,63,57,8.7,1
STU_10273,14,52,50,61,7.5,1
STU_10274,17,47,49,75,10.2,1
STU_10275,17,61,67,66,14.3,1
STU_10276,14,40,64,63,11.2,1
STU_10277,15,33,57,38,5.0,0
STU_10278,14,66,58,82,13.0,1
STU_10279,19,55,73,61,19.1,1
STU_10280,17,67,69,32,14.5,0
STU_10281,18,34,45,23,3.2,0
STU_10282,18,36,69,61,11.1,1
STU_10283,16,16,50,35,3.6,0
STU_10284,14,62,68,53,6.7,1
STU_10285,14,34,63,40,10.1,0
STU_10286,16,51,34,59,9.3,0
STU_10287,16,64,57,67,14.3,1
STU_10288,16,56,53,68,19.2,1
STU_10289,17,49,49,49,10.7,0
STU_10290,19,51,45,62,6.4,1
STU_10291,14,41,50,43,1.8,0
STU_10292,17,60,60,61,16.4,1
STU_10293,16,51,64,48,7.6,1
STU_10294,14,48,44,51,7.8,0
STU_10295,17,40,48,75,8.2,1
STU_10296,19,66,42,56,10.4,1
STU_10297,17,56,69,43,10.6,1
STU_10298,19,29,65,42,6.8,0
STU_10299,16,54,49,50,7.5,1
STU_10300,19,39,32,42,5.4,0
STU_10301,14,41,44,61,5.0,0
STU_10302,16,44,48,35,5.0,0
STU_10303,14,41,44,52,7.5,0
STU_10304,18,61,69,61,4.4,1
STU_10305,15,21,57,39,0.5,0
STU_10306,19,47,31,57,6.3,0
STU_10307,15,45,32,48,3.3,0
STU_10308,15,51,56,54,8.5,1
STU_10309,19,43,36,57,5.4,0
STU_10310,16,50,56,36,10.4,0
STU_10311,18,33,44,62,3.6,0
STU_10312,14,31,41,26,2.1,0
STU_10313,17,60,60,66,7.5,1
STU_10314,14,42,66,56,6.1,1
STU_10315,17,62,47,54,3.1,1
STU_10316,14,64,46,76,12.4,1
STU_10317,19,16,46,62,4.0,0
STU_10318,18,53,40,59,4.9,1
STU_10319,17,59,80,57,13.8,1
STU_10320,16,41,62,53,10.8,1
STU_10321,14,55,48,58,3.7,1
STU_10322,14,42,55,57,6.5,1
STU_10323,17,36,43,52,3.5,0
STU_10324,16,63,72,59,13.2,1
STU_10325,16,70,53,55,13.2,1
STU_10326,19,73,81,52,20.7,1
STU_10327,19,81,94,80,25.2,1
STU_10328,19,38,38,49,5.3,0
STU_10329,19,68,61,55,12.0,1
STU_10330,19,40,45,27,1.9,0
STU_10331,19,49,41,56,8.9,0
STU_10332,18,50,41,41,10.3,0
STU_10333,16,53,36,45,4.2,0
STU_10334,19,42,46,59,5.1,0
STU_10335,16,69,63,60,13.3,1
STU_10336,16,49,51,55,10.4,1
STU_10337,15,77,88,58,19.3,1
STU_10338,18,69,77,59,18.0,1
STU_10339,19,30,46,65,2.3,0
STU_10340,14,44,43,60,5.7,0
STU_10341,17,20,45,44,3.9,0
STU_10342,14,50,69,57,12.3,1
STU_10343,18,36,62,58,9.5,1
STU_10344,17,62,54,54,4.1,1
STU_10345,18,27,42,50,4.5,0
STU_10346,16,89,58,43,15.8,1
STU_10347,17,51,33,51,6.1,0
STU_10348,16,33,46,46,1.6,0
STU_10349,14,50,29,72,3.8,0
STU_10350,14,67,72,98,21.5,1
STU_10351,17,46,56,67,14.0,1
STU_10352,17,42,46,41,3.3,0
STU_10353,19,58,64,62,8.9,1
STU_10354,18,72,73,41,13.5,1
STU_10355,19,44,49,42,2.3,0
STU_10356,18,56,53,43,14.4,1
STU_10357,19,68,54,62,10.4,1
STU_10358,16,55,37,37,4.9,0
STU_10359,17,58,50,54,11.3,1
STU_10360,14,64,58,55,9.6,1
STU_10361,18,75,44,56,9.9,1
STU_10362,18,45,47,49,8.7,0
STU_10363,14,34,34,54,4.4,0
STU_10364,19,38,53,37,5.0,0
STU_10365,18,34,45,72,6.9,0
STU_10366,16,56,29,43,8.2,0
STU_10367,17,40,73,58,11.7,1
STU_10368,14,87,83,76,21.8,1
STU_10369,17,45,33,63,9.2,0
STU_10370,18,69,64,66,11.6,1
STU_10371,18,33,74,42,13.1,0
STU_10372,14,53,55,48,12.1,1
STU_10373,16,30,46,51,4.3,0
STU_10374,15,78,61,69,16.6,1
STU_10375,14,79,68,76,15.2,1
STU_10376,15,27,62,49,8.7,0
STU_10377,19,52,33,40,4.5,0
STU_10378,15,60,44,48,8.1,1
STU_10379,16,43,43,73,2.5,1
STU_10380,19,73,70,81,17.9,1
STU_10381,15,50,51,49,5.3,1
STU_10382,19,56,47,67,6.7,1
STU_10383,15,55,57,58,17.2,1
STU_10384,16,76,73,73,16.0,1
STU_10385,15,55,41,41,9.8,0
STU_10386,15,71,64,70,19.3,1
STU_10387,15,48,45,61,4.2,1
STU_10388,14,40,59,52,9.8,1
STU_10389,14,27,42,56,4.2,0
STU_10390,14,60,69,55,14.7,1
STU_10391,16,76,74,64,14.4,1
STU_10392,19,59,64,62,20.1,1
STU_10393,18,51,55,63,8.0,1
STU_10394,15,70,78,57,23.2,1
STU_10395,15,34,41,38,4.0,0
STU_10396,16,54,31,68,7.7,0
STU_10397,15,50,48,22,4.1,0
STU_10398,14,43,57,48,9.0,0
STU_10399,18,57,56,48,4.3,1
STU_10400,17,66,58,65,14.7,1
STU_10401,15,52,48,51,10.6,1
STU_10402,14,45,35,37,3.8,0
STU_10403,17,78,28,73,12.8,0
STU_10404,18,76,64,77,18.6,1
STU_10405,17,48,84,53,11.2,1
STU_10406,14,40,56,29,3.0,0
STU_10407,19,49,40,56,7.3,0
STU_10408,19,63,52,60,12.0,1
STU_10409,17,50,44,45,6.9,0
STU_10410,16,61,58,28,4.0,0
STU_10411,17,61,85,59,15.7,1
STU_10412,15,30,50,61,6.7,0
STU_10413,15,71,70,76,18.6,1
STU_10414,19,41,52,51,5.7,0
STU_10415,16,31,48,45,6.4,0
STU_10416,14,38,49,59,5.4,0
STU_10417,15,44,50,40,7.2,0
STU_10418,19,65,60,42,10.5,1
STU_10419,18,28,25,49,4.1,0
STU_10420,19,45,39,66,3.6,1
STU_10421,15,61,30,65,2.3,0
STU_10422,15,37,48,33,2.0,0
STU_10423,19,38,35,43,3.0,0
STU_10424,14,52,31,78,5.7,0
STU_10425,17,56,34,47,8.9,0
STU_10426,15,67,59,74,10.1,1
STU_10427,19,49,43,65,8.7,1
STU_10428,19,73,64,77,17.4,1
STU_10429,16,79,87,63,20.5,1
STU_10430,17,44,52,48,6.7,0
STU_10431,18,41,39,39,4.1,0
STU_10432,14,78,65,80,24.0,1
STU_10433,18,50,67,44,15.4,1
STU_10434,17,58,60,59,14.7,1
STU_10435,17,60,53,69,5.5,1
STU_10436,17,69,35,66,13.0,1
STU_10437,18,45,63,66,8.7,1
STU_10438,17,49,33,35,7.6,0
STU_10439,19,58,45,42,7.6,0
STU_10440,18,59,69,70,10.7,1
STU_10441,17,75,44,66,17.7,1
STU_10442,19,86,77,61,25.1,1
STU_10443,16,48,45,59,6.2,1
STU_10444,17,50,52,49,9.0,1
STU_10445,18,37,54,81,7.5,1
STU_10446,15,60,55,63,10.3,1
STU_10447,17,45,36,43,7.0,0
STU_10448,15,60,75,80,22.8,1
STU_10449,19,39,46,68,5.1,1
STU_10450,16,55,47,52,6.2,1
STU_10451,14,26,68,43,5.6,0
STU_10452,16,38,63,54,7.3,1
STU_10453,17,42,61,42,3.2,0
STU_10454,15,59,51,48,5.7,1
STU_10455,15,64,72,41,10.3,1
STU_10456,18,68,46,66,10.2,1
STU_10457,15,54,49,43,9.3,0
STU_10458,18,63,59,70,16.9,1
STU_10459,19,62,50,53,10.5,1
STU_10460,14,56,65,66,16.6,1
STU_10461,17,70,80,67,25.1,1
STU_10462,18,47,63,62,13.2,1
STU_10463,14,52,61,53,3.2,1
STU_10464,15,44,38,52,9.5,0
STU_10465,15,61,40,36,8.7,0
STU_10466,14,70,43,69,18.6,1
STU_10467,15,60,42,58,7.5,1
STU_10468,19,32,41,34,4.7,0
STU_10469,19,39,40,41,5.9,0
STU_10470,14,45,32,45,3.3,0
STU_10471,18,32,40,20,0.5,0
STU_10472,18,51,71,78,22.9,1
STU_10473,14,36,42,49,8.1,0
STU_10474,18,30,45,52,3.5,0
STU_10475,18,60,63,55,19.5,1
STU_10476,19,80,84,91,21.4,1
STU_10477,18,54,51,39,8.9,0
STU_10478,16,42,39,43,3.1,0
STU_10479,17,66,50,65,6.0,1
STU_10480,15,59,29,40,7.0,0
STU_10481,16,58,63,55,8.3,1
STU_10482,18,27,52,56,3.8,0
STU_10483,19,60,52,44,13.8,1
STU_10484,14,41,29,39,1.5,0
STU_10485,18,58,52,64,15.1,1
STU_10486,19,82,51,69,16.9,1
STU_10487,17,47,31,43,6.4,0
STU_10488,18,37,36,74,7.7,0
STU_10489,14,58,40,70,18.1,1
STU_10490,19,79,53,66,11.7,1
STU_10491,19,42,47,60,6.5,0
STU_10492,19,27,62,36,7.0,0
STU_10493,17,48,65,56,10.8,1
STU_10494,18,56,65,69,21.7,1
STU_10495,17,57,47,50,7.1,1
STU_10496,15,27,59,54,6.4,0
STU_10497,15,36,47,31,8.2,0
STU_10498,18,50,53,56,8.3,1
STU_10499,17,64,47,52,9.7,1
STU_10500,14,48,51,30,7.7,0
STU_10501,19,51,64,67,15.6,1
STU_10502,19,45,42,37,4.4,0
STU_10503,18,49,65,52,10.3,1
STU_10504,15,65,46,54,10.6,1
STU_10505,15,52,47,30,4.7,0
STU_10506,19,48,72,37,10.3,1
STU_10507,18,62,58,63,10.7,1
STU_10508,17,39,31,39,0.9,0
STU_10509,15,56,48,45,4.1,0
STU_10510,17,76,93,67,18.9,1
STU_10511,15,50,47,32,5.5,0
STU_10512,15,55,52,44,3.5,1
STU_10513,16,39,41,46,2.0,0
STU_10514,15,34,47,69,3.9,0
STU_10515,14,51,49,43,7.5,0
STU_10516,18,37,33,57,3.3,0
STU_10517,18,62,61,58,11.8,1
STU_10518,17,44,33,38,4.6,0
STU_10519,15,56,50,49,9.7,1
STU_10520,14,54,85,74,17.4,1
STU_10521,17,70,64,72,16.8,1
STU_10522,16,39,44,50,9.6,0
STU_10523,17,51,46,53,3.7,1
STU_10524,17,59,45,42,7.8,0
STU_10525,15,56,55,54,9.8,1
STU_10526,16,88,71,71,27.7,1
STU_10527,17,36,49,57,1.9,0
STU_10528,14,43,52,59,7.8,1
STU_10529,14,56,47,50,11.6,1
STU_10530,18,70,55,48,8.6,1
STU_10531,16,54,72,55,9.2,1
STU_10532,16,30,38,49,4.8,0
STU_10533,18,43,67,57,13.7,1
STU_10534,17,36,55,50,8.3,0
STU_10535,16,48,57,70,9.2,1
STU_10536,14,74,70,56,14.5,1
STU_10537,14,37,46,56,6.6,0
STU_10538,15,79,66,90,16.3,1
STU_10539,16,43,44,39,3.3,0
STU_10540,17,57,45,58,9.5,1
STU_10541,18,48,50,53,4.6,1
STU_10542,18,48,40,49,3.8,0
STU_10543,17,70,91,69,21.6,1
STU_10544,19,18,38,39,3.4,0
STU_10545,15,44,38,58,8.4,0
STU_10546,18,32,54,28,3.2,0
STU_10547,16,66,56,82,15.7,1
STU_10548,15,48,36,71,6.2,1
STU_10549,16,58,65,57,14.5,1
STU_10550,14,73,69,69,11.3,1
STU_10551,15,74,86,70,25.4,1
STU_10552,18,18,37,48,2.7,0
STU_10553,15,44,46,42,4.1,0
STU_10554,15,72,58,69,14.0,1
STU_10555,15,56,70,49,9.8,1
STU_10556,19,44,45,61,6.9,1
STU_10557,15,78,75,70,22.8,1
STU_10558,16,68,52,54,8.0,1
STU_10559,14,35,34,34,4.8,0
STU_10560,17,62,59,62,14.6,1
STU_10561,15,56,49,41,8.2,0
STU_10562,18,53,66,55,8.6,1
STU_10563,15,54,59,79,11.9,1
STU_10564,18,53,54,43,12.2,1
STU_10565,16,40,43,48,4.1,0
STU_10566,18,52,48,45,6.7,0
STU_10567,17,45,42,37,3.0,0
STU_10568,14,74,63,47,9.8,1
STU_10569,18,58,82,85,21.4,1
STU_10570,18,60,35,69,4.2,1
STU_10571,14,38,53,36,2.6,0
STU_10572,17,44,54,55,5.3,1
STU_10573,15,56,49,42,6.9,0
STU_10574,18,65,43,51,12.2,1
STU_10575,14,58,51,30,6.5,0
STU_10576,16,67,50,79,10.0,1
STU_10577,14,45,53,63,5.8,1
STU_10578,16,62,56,46,7.1,1
STU_10579,17,37,59,53,4.6,0
STU_10580,15,39,33,45,3.7,0
STU_10581,14,56,79,69,12.5,1
STU_10582,19,41,57,48,6.1,0
STU_10583,18,54,62,54,10.4,1
STU_10584,17,52,65,43,4.6,1
STU_10585,14,56,54,60,8.0,1
STU_10586,18,32,51,71,1.5,0
STU_10587,14,40,50,49,6.4,0
STU_10588,16,35,54,47,4.9,0
STU_10589,14,64,74,62,15.4,1
STU_10590,19,25,54,51,3.3,0
STU_10591,14,39,35,50,7.3,0
STU_10592,14,48,50,51,9.8,0
STU_10593,19,71,72,62,14.2,1
STU_10594,17,57,64,40,13.1,1
STU_10595,14,59,50,47,7.7,1
STU_10596,19,52,57,32,8.4,0
STU_10597,18,58,52,57,15.4,1
STU_10598,16,44,58,43,7.6,0
STU_10599,16,39,56,62,8.9,1
STU_10600,14,87,64,54,15.7,1
STU_10601,17,95,80,71,27.4,1
STU_10602,17,58,55,32,9.4,0
STU_10603,18,42,53,68,10.9,1
STU_10604,14,54,55,47,12.9,1
STU_10605,16,53,81,57,15.6,1
STU_10606,17,62,45,69,14.4,1
STU_10607,14,36,31,60,5.5,0
STU_10608,17,46,61,43,9.7,1
STU_10609,19,52,49,67,14.4,1
STU_10610,17,64,46,52,17.4,1
STU_10611,16,49,60,56,7.3,1
STU_10612,15,50,66,47,9.6,1
STU_10613,18,69,41,45,10.3,1
STU_10614,18,58,33,54,8.2,0
STU_10615,16,44,41,47,9.5,0
STU_10616,17,41,33,69,1.4,0
STU_10617,14,91,100,77,35.0,1
STU_10618,17,44,45,40,7.1,0
STU_10619,16,53,58,43,7.5,1
STU_10620,18,46,49,47,2.4,0
STU_10621,17,33,55,49,2.1,0
STU_10622,18,43,49,60,10.7,1
STU_10623,14,62,61,71,14.5,1
STU_10624,18,63,57,41,13.0,1
STU_10625,18,37,51,61,4.6,0
STU_10626,15,66,70,49,12.5,1
STU_10627,15,55,72,58,7.4,1
STU_10628,19,40,44,71,6.3,1
STU_10629,15,52,44,40,3.0,0
STU_10630,18,56,55,41,5.0,1
STU_10631,16,75,61,46,10.8,1
STU_10632,18,70,71,52,9.7,1
STU_10633,16,42,51,69,8.9,1
STU_10634,16,47,36,34,1.4,0
STU_10635,15,60,66,49,8.9,1
STU_10636,17,41,50,62,5.5,1
STU_10637,14,57,59,63,9.7,1
STU_10638,15,45,63,57,15.8,1
STU_10639,15,27,57,49,6.0,0
STU_10640,17,33,43,64,8.5,0
STU_10641,14,80,70,87,22.8,1
STU_10642,18,56,27,74,9.4,0
STU_10643,19,46,44,69,7.9,1
STU_10644,19,60,55,43,4.6,1
STU_10645,18,68,59,79,12.7,1
STU_10646,15,26,35,41,4.1,0
STU_10647,14,62,78,45,16.2,1
STU_10648,15,47,58,59,11.7,1
STU_10649,16,49,64,67,5.6,1
STU_10650,15,43,54,57,4.7,1
STU_10651,15,35,48,49,4.8,0
STU_10652,18,56,60,51,2.1,1
STU_10653,18,54,51,62,10.5,1
STU_10654,18,34,29,48,1.5,0
STU_10655,19,46,66,50,7.6,1
STU_10656,16,64,56,45,7.3,1
STU_10657,18,56,62,53,6.5,1
STU_10658,14,52,64,55,10.5,1
STU_10659,19,35,63,51,5.6,0
STU_10660,17,43,47,66,8.9,1
STU_10661,14,59,62,60,16.2,1
STU_10662,14,60,54,55,11.2,1
STU_10663,18,54,46,54,6.1,1
STU_10664,17,42,35,83,8.0,1
STU_10665,17,55,50,40,6.5,0
STU_10666,19,39,57,65,7.2,1
STU_10667,17,45,46,52,9.1,0
STU_10668,16,26,34,48,2.9,0
STU_10669,18,25,40,33,2.4,0
STU_10670,17,34,53,71,4.4,0
STU_10671,19,54,45,59,10.8,1
STU_10672,16,46,80,65,11.7,1
STU_10673,15,73,45,42,12.7,1
STU_10674,15,34,39,43,4.5,0
STU_10675,16,52,63,59,8.5,1
STU_10676,19,60,58,50,6.3,1
STU_10677,16,49,59,58,7.4,1
STU_10678,18,43,41,75,6.2,1
STU_10679,18,53,48,61,9.4,1
STU_10680,15,39,38,46,5.1,0
STU_10681,17,52,59,55,15.2,1
STU_10682,19,69,66,53,15.3,1
STU_10683,15,48,46,52,10.6,0
STU_10684,17,70,43,56,14.2,1
STU_10685,17,48,54,49,2.9,1
STU_10686,18,65,61,68,15.7,1
STU_10687,14,63,61,61,10.0,1
STU_10688,14,39,44,52,5.4,0
STU_10689,16,52,51,53,5.0,1
STU_10690,18,77,91,94,18.8,1
STU_10691,17,55,47,51,12.8,1
STU_10692,19,44,42,53,7.3,0
STU_10693,14,43,33,28,2.8,0
STU_10694,17,84,85,59,16.2,1
